PG.ProteinGroups	PG.Genes	[1] 20260428_TIMS6_EVO4_PRI_DIA_30SPD_15cmPS_P8_R2003_X3858_ADG000268_S1_S3-A1_1_20231.d.PG.Quantity	[2] 20260428_TIMS6_EVO4_PRI_DIA_30SPD_15cmPS_P8_R2003_X3858_ADG000268_S2_S3-A2_1_20232.d.PG.Quantity	[3] 20260428_TIMS6_EVO4_PRI_DIA_30SPD_15cmPS_P8_R2003_X3858_ADG000268_S3_S3-A3_1_20233.d.PG.Quantity	[4] 20260428_TIMS6_EVO4_PRI_DIA_30SPD_15cmPS_P8_R2003_X3858_ADG000268_S4_S3-A4_1_20234.d.PG.Quantity	[5] 20260428_TIMS6_EVO4_PRI_DIA_30SPD_15cmPS_P8_R2003_X3858_ADG000268_S5_S3-A5_1_20235.d.PG.Quantity	[6] 20260428_TIMS6_EVO4_PRI_DIA_30SPD_15cmPS_P8_R2003_X3858_ADG000268_S6_S3-A6_1_20236.d.PG.Quantity	[7] 20260428_TIMS6_EVO4_PRI_DIA_30SPD_15cmPS_P8_R2003_X3858_ADG000268_S7_S3-A7_1_20237.d.PG.Quantity	[8] 20260428_TIMS6_EVO4_PRI_DIA_30SPD_15cmPS_P8_R2003_X3858_ADG000268_S8_S3-A8_1_20238.d.PG.Quantity
A2ACJ2	Faap100	96.40998077392578	108.14595031738281	101.3367919921875	90.53397369384766	104.71746826171875	104.67007446289062	128.84515380859375	126.07608795166016
A2ADA5	Pusl1	146.902099609375	131.14254760742188	114.74298095703125	111.3067855834961	89.38854217529297	128.35191345214844	93.99092864990234	100.38684844970703
A2ADY9	Ddi2	614.8920288085938	493.90435791015625	439.3046569824219	457.521240234375	494.5260925292969	556.050048828125	545.3889770507812	523.2034912109375
A2AF47	Dock11	78.22244262695312	83.55033874511719	107.07367706298828	97.32859802246094	94.01643371582031	85.71358489990234	95.98411560058594	87.10175323486328
A2AG58	Bclaf3	540.3349609375	562.6845092773438	471.43115234375	555.6301879882812	538.3176879882812	421.2565612792969	401.0009460449219	489.13946533203125
A2AGH6	Med12	292.1902770996094	303.0279846191406	328.5965270996094	330.71295166015625	328.402099609375	314.04022216796875	291.3370361328125	297.7089538574219
A2AGT5	Ckap5	2267.3173828125	2104.565185546875	2062.64453125	2197.608154296875	2097.85791015625	2189.79638671875	2080.392333984375	2053.442138671875
A2AH22	Ambra1	235.0062713623047	261.99468994140625	254.50247192382812	204.63003540039062	231.1844024658203	238.68826293945312	233.08001708984375	235.7548065185547
A2AHC3	Camsap1	410.5892028808594	398.9397888183594	429.9914855957031	457.3096618652344	410.590576171875	388.2684326171875	403.94268798828125	420.8376770019531
A2AI08	Tprn	50.38007736206055	57.141258239746094	46.22304153442383	55.29256057739258	49.39895248413086	43.705562591552734	52.081417083740234	58.85706329345703
A2AIG8	Accs	38.64830017089844	21.77088165283203	25.933544158935547	9.477232933044434	24.8631534576416	18.78571891784668	25.508220672607422	28.4169921875
A2AIL4	Ndufaf6	67.57371520996094	134.4993896484375	108.38294219970703	112.078369140625	109.65744018554688	61.99021911621094	114.05778503417969	103.5905532836914
A2AIV2	Virma	356.8184814453125	308.1630554199219	311.3899841308594	348.36968994140625	349.68658447265625	376.2695007324219	362.1518249511719	338.29852294921875
A2AJ15	Man1b1	195.49867248535156	221.75694274902344	261.8785705566406	252.95651245117188	247.79800415039062	196.52044677734375	211.67813110351562	250.62107849121094
A2AJI0	Map7d1	1262.62060546875	991.9891967773438	1048.7830810546875	1194.6043701171875	1036.648681640625	1111.75	909.2819213867188	1015.2526245117188
A2AJK6	Chd7	427.2695617675781	354.2801818847656	444.6369934082031	489.0214538574219	414.052734375	418.8271179199219	462.0389709472656	493.4089660644531
A2AJL3	Fggy	14.124428749084473	25.318607330322266	13.364834785461426	23.914012908935547	20.22083854675293	14.701669692993164	17.632890701293945	20.898418426513672
A2AJT4	Pnisr	128.09068298339844	92.3401870727539	99.2496109008789	77.81208801269531	106.77152252197266	94.47479248046875	94.34213256835938	111.12429809570312
A2AKB9	Dcaf10	158.16845703125	141.35971069335938	140.89454650878906	150.0391082763672	127.17445373535156	147.43736267089844	113.62034606933594	151.58261108398438
A2AKG8	Focad	177.76434326171875	175.98475646972656	204.57762145996094	195.92832946777344	178.13885498046875	152.71063232421875	182.1527099609375	178.46893310546875
A2AKX3	Setx	149.22988891601562	123.5433120727539	140.19029235839844	119.27302551269531	167.59310913085938	107.12700653076172	142.13710021972656	137.36996459960938
A2AL36	Cntrl	104.56271362304688	99.86579895019531	94.65271759033203	92.24504089355469	141.11610412597656	158.14817810058594	88.52644348144531	113.66259002685547
A2ALW5	Dnajc25	343.89617919921875	321.08404541015625	351.7208557128906	301.49176025390625	297.24993896484375	229.37843322753906	243.7703857421875	258.11358642578125
A2AM05	Cntln	51.12693405151367	36.73396682739258	47.75445556640625	40.08898162841797	46.729793548583984	50.11833190917969	52.566959381103516	54.52644348144531
A2AM29	Mllt3	70.7073745727539	47.060089111328125	72.19181823730469	77.38407897949219	54.93359375	44.8337287902832	47.63028335571289	40.647850036621094
A2AMM0	Cavin4	57.40620040893555	110.42139434814453	62.65048599243164	53.005210876464844	73.3589859008789	65.8196029663086	67.23363494873047	73.55352020263672
A2AN08	Ubr4	2178.050048828125	2113.91162109375	1936.182861328125	2138.319580078125	2159.468994140625	2257.375	1971.758544921875	2048.322021484375
A2APB8	Tpx2	267.4776306152344	279.3540954589844	285.9526062011719	318.7154235839844	293.0068664550781	279.09429931640625	287.73175048828125	297.5342712402344
A2APY7	Ndufaf5	126.99983978271484	96.45584106445312	91.01042175292969	117.77385711669922	103.32465362548828	118.14752197265625	101.24006652832031	100.93489837646484
A2AQ07	Tubb1	301.2419128417969	123.85929870605469	98.40957641601562	124.18235778808594	91.28104400634766	75.88768005371094	50.00173568725586	46.890071868896484
A2AQ19	Rtf1	137.12005615234375	142.1608123779297	149.43275451660156	183.0595703125	179.69192504882812	140.45799255371094	171.62034606933594	184.96786499023438
A2AR02	Ppig	106.56378173828125	141.81771850585938	99.79464721679688	101.08997344970703	88.97687530517578	114.12725067138672	137.35154724121094	110.53226470947266
A2ARP1	Ppip5k1	20.21839141845703	31.91493797302246	28.089221954345703	24.749807357788086	25.332799911499023	17.478958129882812	29.91395378112793	35.46235275268555
A2ARV4	Lrp2	46.543922424316406	53.60663604736328	38.75322723388672	47.12009811401367	46.15786361694336	39.65060043334961	35.83165740966797	27.264123916625977
A2AS55	Ankrd16	73.36215209960938	69.82669830322266	86.76348114013672	66.41106414794922	69.54071807861328	69.29471588134766	70.57237243652344	61.85798645019531
